id,label,sentence,color

コンピュータリテラシー_0,コンピュータリテラシー,コンピュータと情報に関する基礎的な概念を理解し、応用する能力を養う科目。,#F8C6BD

コンピュータリテラシー_1,コンピュータの基本構成,コンピュータの基本的な構成要素とその役割について学ぶ。,#F8C6BD

コンピュータリテラシー_2,UNIX,UNIXオペレーティングシステムの基本を学び、コマンドライン操作を習得する。,#F8C6BD

コンピュータリテラシー_3,情報倫理,情報社会における倫理的な問題とその対策について学ぶ。,#F8C6BD

コンピュータリテラシー_4,情報セキュリティ,情報の安全性を確保するための基本的な概念と技術を学ぶ。,#F8C6BD

コンピュータリテラシー_5,コンピュータの利用と認証,コンピュータの利用方法と認証の仕組みについて学ぶ。,#F8C6BD

コンピュータリテラシー_6,インターネットの原理,インターネットの基本的な仕組みとその動作原理を理解する。,#F8C6BD

コンピュータリテラシー_7,ネットワークと安全性,コンピュータネットワークの基本とその安全性について学ぶ。,#F8C6BD

コンピュータリテラシー_8,ファイルシステムとファイル操作,ファイルシステムの構造と基本的なファイル操作について学ぶ。,#F8C6BD

コンピュータリテラシー_9,テキストファイルとエディタ,テキストファイルの編集方法とエディタの使い方を学ぶ。,#F8C6BD

コンピュータリテラシー_10,フィルタとシェルスクリプト,フィルタコマンドとシェルスクリプトの基本を学ぶ。,#F8C6BD

コンピュータリテラシー_11,マークアップによるテキスト整形,マークアップ言語を用いたテキスト整形の方法を学ぶ。,#F8C6BD

コンピュータリテラシー_12,グラフィクス/図と表,グラフィクスや図表の作成方法を学ぶ。,#F8C6BD

コンピュータリテラシー_13,HTML/CSSによるWebページ記述,HTMLとCSSを用いたWebページの作成方法を学ぶ。,#F8C6BD

コンピュータリテラシー_14,Webと情報アーキテクチャ,Webの基本構造と情報アーキテクチャについて学ぶ。,#F8C6BD

コンピュータリテラシー_15,Webサイトの設計/製作,Webサイトの設計と製作の実践的な方法を学ぶ。,#F8C6BD

コンピュータリテラシー_16,ソフトウェア開発とテストケース,ソフトウェア開発の基本とテストケースの作成方法を学ぶ。,#F8C6BD

コンピュータリテラシー_17,アカデミックリテラシ,学術的なリテラシーを総合的に学ぶ実習。,#F8C6BD

